Group 1,Group 2,Group 3
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44000', 'Distance: 0.02799']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44000', 'Distance: 0.02799']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44000', 'Distance: 0.02799']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44000', 'Distance: 0.02799']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.43750', 'Distance: 0.03049']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.43750', 'Distance: 0.03049']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.43750', 'Distance: 0.03049']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.43750', 'Distance: 0.03049']","['Value: 0.20000', 'Distance: 0.01125']"
